provincia,anyo,flujo_hombres,flujo_mujeres,flujo_total,ratio_feminizacion,brecha_absoluta,saldo_neto,tasa_atraccion,cob_100mbps_pct,compraventas_per_capita
Albacete,2013,5313.0,4901.0,10214.0,47.983160368122185,-412.0,-3376,-1.9458,52.5929,0.013867
Albacete,2013,5313.0,4901.0,10214.0,47.983160368122185,-412.0,-3376,-1.9458,52.5929,0.027733
Albacete,2013,5313.0,4901.0,10214.0,47.983160368122185,-412.0,-3376,-1.9458,52.5929,0.027736
Albacete,2014,5307.0,5058.0,10365.0,48.798842257597684,-249.0,-3982,-3.3322,52.9683,0.014502
Albacete,2014,5307.0,5058.0,10365.0,48.798842257597684,-249.0,-3982,-3.3322,52.9683,0.029042
Albacete,2014,5307.0,5058.0,10365.0,48.798842257597684,-249.0,-3982,-3.3322,52.9683,0.028965
Albacete,2015,5545.0,4997.0,10542.0,47.400872699677485,-548.0,13695,0.7222,53.7551,0.014963
Albacete,2015,5545.0,4997.0,10542.0,47.400872699677485,-548.0,13695,0.7222,53.7551,0.029967
Albacete,2015,5545.0,4997.0,10542.0,47.400872699677485,-548.0,13695,0.7222,53.7551,0.029884
Albacete,2016,5134.0,4817.0,9951.0,48.407195256758115,-317.0,-1856,-0.5956,53.6744,0.016663
Albacete,2016,5134.0,4817.0,9951.0,48.407195256758115,-317.0,-1856,-0.5956,53.6744,0.033364
Albacete,2016,5134.0,4817.0,9951.0,48.407195256758115,-317.0,-1856,-0.5956,53.6744,0.03329
Albacete,2017,5094.0,4560.0,9654.0,47.23430702299565,-534.0,-3582,-2.8771,62.1609,0.021083
Albacete,2017,5094.0,4560.0,9654.0,47.23430702299565,-534.0,-3582,-2.8771,62.1609,0.042225
Albacete,2017,5094.0,4560.0,9654.0,47.23430702299565,-534.0,-3582,-2.8771,62.1609,0.042107
Albacete,2018,5340.0,4880.0,10220.0,47.74951076320939,-460.0,1865,0.2674,74.6987,0.022825
Albacete,2018,5340.0,4880.0,10220.0,47.74951076320939,-460.0,1865,0.2674,74.6987,0.045705
Albacete,2018,5340.0,4880.0,10220.0,47.74951076320939,-460.0,1865,0.2674,74.6987,0.045595
Albacete,2019,5202.0,4636.0,9838.0,47.12339906485058,-566.0,1266,0.2047,88.5003,0.0245
Albacete,2019,5202.0,4636.0,9838.0,47.12339906485058,-566.0,1266,0.2047,88.5003,0.049043
Albacete,2019,5202.0,4636.0,9838.0,47.12339906485058,-566.0,1266,0.2047,88.5003,0.048956
Albacete,2020,3944.0,3572.0,7516.0,47.525279403938264,-372.0,3252,0.4639,92.0779,0.020638
Albacete,2020,3944.0,3572.0,7516.0,47.525279403938264,-372.0,3252,0.4639,92.0779,0.041287
Albacete,2020,3944.0,3572.0,7516.0,47.525279403938264,-372.0,3252,0.4639,92.0779,0.041264
Albacete,2021,4938.0,4436.0,9374.0,47.32238105397909,-502.0,409,0.0803,87.5416,0.02675
Albacete,2021,4938.0,4436.0,9374.0,47.32238105397909,-502.0,409,0.0803,87.5416,0.053508
Albacete,2021,4938.0,4436.0,9374.0,47.32238105397909,-502.0,409,0.0803,87.5416,0.053493
Alicante/Alacant,2013,18542.0,16705.0,35247.0,47.39410446279116,-1837.0,-10641,-1.5228,50.8892,0.036983
Alicante/Alacant,2013,18542.0,16705.0,35247.0,47.39410446279116,-1837.0,-10641,-1.5228,50.8892,0.074263
Alicante/Alacant,2013,18542.0,16705.0,35247.0,47.39410446279116,-1837.0,-10641,-1.5228,50.8892,0.07367
Alicante/Alacant,2014,19056.0,17438.0,36494.0,47.78319723790212,-1618.0,-16576,-9.9139,52.35,0.039161
Alicante/Alacant,2014,19056.0,17438.0,36494.0,47.78319723790212,-1618.0,-16576,-9.9139,52.35,0.078803
Alicante/Alacant,2014,19056.0,17438.0,36494.0,47.78319723790212,-1618.0,-16576,-9.9139,52.35,0.077847
Alicante/Alacant,2015,18751.0,17181.0,35932.0,47.81531782255371,-1570.0,-14200,-3.7706,59.275,0.043435
Alicante/Alacant,2015,18751.0,17181.0,35932.0,47.81531782255371,-1570.0,-14200,-3.7706,59.275,0.087493
Alicante/Alacant,2015,18751.0,17181.0,35932.0,47.81531782255371,-1570.0,-14200,-3.7706,59.275,0.086256
Alicante/Alacant,2016,18281.0,16598.0,34879.0,47.587373491212475,-1683.0,-8423,-0.9343,61.1285,0.048499
Alicante/Alacant,2016,18281.0,16598.0,34879.0,47.587373491212475,-1683.0,-8423,-0.9343,61.1285,0.09775
Alicante/Alacant,2016,18281.0,16598.0,34879.0,47.587373491212475,-1683.0,-8423,-0.9343,61.1285,0.096259
Alicante/Alacant,2017,17896.0,15778.0,33674.0,46.855140464453285,-2118.0,-5347,-0.4654,70.6984,0.057059
Alicante/Alacant,2017,17896.0,15778.0,33674.0,46.855140464453285,-2118.0,-5347,-0.4654,70.6984,0.115121
Alicante/Alacant,2017,17896.0,15778.0,33674.0,46.855140464453285,-2118.0,-5347,-0.4654,70.6984,0.113131
Alicante/Alacant,2018,17904.0,16452.0,34356.0,47.88683199441145,-1452.0,-14254,-4.8748,79.7763,0.064279
Alicante/Alacant,2018,17904.0,16452.0,34356.0,47.88683199441145,-1452.0,-14254,-4.8748,79.7763,0.12973
Alicante/Alacant,2018,17904.0,16452.0,34356.0,47.88683199441145,-1452.0,-14254,-4.8748,79.7763,0.127406
Alicante/Alacant,2019,18562.0,16620.0,35182.0,47.24006594281167,-1942.0,-7062,-0.6707,84.6253,0.059946
Alicante/Alacant,2019,18562.0,16620.0,35182.0,47.24006594281167,-1942.0,-7062,-0.6707,84.6253,0.120988
Alicante/Alacant,2019,18562.0,16620.0,35182.0,47.24006594281167,-1942.0,-7062,-0.6707,84.6253,0.118814
Alicante/Alacant,2020,14878.0,13160.0,28038.0,46.936300734717165,-1718.0,1821,0.115,90.8787,0.045794
Alicante/Alacant,2020,14878.0,13160.0,28038.0,46.936300734717165,-1718.0,1821,0.115,90.8787,0.092383
