provincia,ratio_feminizacion,brecha_absoluta,saldo_neto
Lugo,50.85,116.67,2416.33
Zamora,50.83,86.67,2743.11
Ourense,50.62,92.22,9100.22
Salamanca,50.18,32.0,6898.11
Palencia,49.81,-14.0,6160.67
Ávila,49.33,-87.11,297.11
Ciudad Real,49.28,-188.22,4029.56
Cáceres,49.16,-168.67,2924.56
Segovia,49.13,-93.78,5717.33
Soria,49.12,-50.89,5290.44
Cuenca,49.1,-123.44,3091.11
León,49.01,-218.0,1246.78
Asturias,48.9,-318.67,-17.22
Madrid,48.85,-2939.33,-55271.78
Córdoba,48.84,-356.89,-3251.11
Badajoz,48.77,-319.0,545.67
Valladolid,48.75,-269.11,2117.44
Pontevedra,48.69,-374.89,2493.33
Cantabria,48.45,-346.56,-466.22
"Coruña, A",48.32,-568.56,-2493.22
Sevilla,48.31,-1009.33,1174.22
Burgos,48.29,-316.67,6117.56
Toledo,48.27,-981.78,-7908.89
Teruel,48.17,-175.56,6207.0
Granada,48.11,-825.78,-1590.22
Jaén,47.94,-661.0,364.67
Albacete,47.73,-440.0,854.56
Málaga,47.69,-1332.11,-7041.78
Navarra,47.58,-536.0,-132.11
Bizkaia,47.38,-926.56,-4183.56
Alicante/Alacant,47.34,-1800.0,-9028.56
Barcelona,47.33,-4496.56,-33227.56
Guadalajara,47.26,-654.11,2506.0
Girona,47.22,-1044.0,-2913.89
Huelva,47.19,-559.22,987.67
"Rioja, La",47.16,-417.56,13084.22
Castellón/Castelló,46.77,-792.22,1116.89
Huesca,46.77,-435.56,3574.33
Cádiz,46.64,-1619.56,2042.78
Santa Cruz de Tenerife,46.49,-1129.44,4159.0
Gipuzkoa,46.47,-739.89,4395.44
Tarragona,46.47,-1544.44,8480.11
Valencia/València,46.39,-2616.56,-4981.89
Araba/Álava,45.68,-646.56,7051.67
"Balears, Illes",45.51,-2481.33,2944.0
"Palmas, Las",45.39,-1892.44,-4306.11
Zaragoza,45.07,-1785.56,5194.56
Lleida,44.82,-1195.33,737.22
Murcia,43.76,-3101.78,-5746.22
Almería,43.51,-2043.44,-3992.89
Ceuta,41.3,-804.11,17259.89
Melilla,39.38,-1172.44,3229.56
