provincia,anyo,ta_media_anual,tamin_media_anual,tamax_media_anual,prec_total_anual,hr_media_anual,n_obs
A Coruña,2026,14.25,13.77,14.43,4.0,70.94,982
Albacete,2026,12.41,11.68,12.64,0.0,72.04,75
Alicante,2026,9.39,8.25,9.61,0.0,65.79,115
Almería,2026,14.05,13.55,14.16,0.0,47.34,60
Andalucía,2026,8.17,7.31,8.37,3.3,83.11,137
Asturias,2026,9.89,8.95,10.16,0.0,70.9,112
Barcelona,2026,12.97,12.21,13.3,4.0,75.03,533
Castellón,2026,12.18,11.6,12.37,7.7,80.33,172
Ceuta,2026,11.97,11.17,12.25,0.0,64.24,277
Ciudad Real,2026,13.45,13.06,13.55,15.6,84.15,190
Cuenca,2026,10.37,9.96,10.42,11.2,92.2,71
Cáceres,2026,10.19,9.47,10.34,9.5,86.42,398
Cádiz,2026,9.43,8.91,9.65,10.2,86.67,272
Córdoba,2026,12.43,12.14,12.47,108.8,97.35,222
Gipuzkoa,2026,5.99,5.05,6.15,0.0,81.52,104
Girona,2026,11.46,11.04,11.55,15.0,92.8,91
Huelva,2026,6.77,5.89,6.92,0.0,85.79,89
Huesca,2026,7.34,6.29,7.62,0.0,75.81,73
Islas Baleares,2026,14.12,13.28,14.48,0.0,48.43,161
Jaén,2026,7.65,6.74,7.86,0.2,79.03,61
La Rioja,2026,8.66,7.89,8.88,0.2,80.2,98
Las Palmas,2026,11.8,10.9,12.05,6.8,74.61,181
León,2026,7.39,6.75,7.51,1.8,82.39,129
Lleida,2026,9.14,8.39,9.34,0.0,81.01,101
Lugo,2026,9.13,8.37,9.4,0.0,81.03,102
Madrid,2026,9.62,8.96,9.81,0.0,80.36,108
Melilla,2026,10.89,9.94,11.24,0.0,68.21,66
Murcia,2026,6.9,5.89,7.09,0.0,74.82,89
Málaga,2026,9.13,8.59,9.21,0.8,88.27,113
Navarra,2026,9.27,8.31,9.53,0.4,70.72,212
Ourense,2026,8.49,7.59,8.69,0.4,74.81,84
Palencia,2026,11.46,10.52,11.75,0.0,74.57,140
Segovia,2026,8.31,7.34,8.54,0.0,72.21,142
Sevilla,2026,9.61,8.53,9.85,0.0,71.25,100
Soria,2026,10.73,9.59,11.14,0.0,74.88,78
Tarragona,2026,11.06,10.12,11.36,0.0,70.57,224
Teruel,2026,11.55,10.71,11.76,0.0,82.63,181
Toledo,2026,11.35,10.47,11.63,0.0,83.2,139
Valencia,2026,13.49,12.51,13.64,0.0,75.36,38
Zaragoza,2026,10.4,9.52,10.61,0.0,61.31,64
Álava,2026,9.39,8.34,9.67,0.0,69.31,88
