cod_provincia,nombre_prov,year,renta__media_de_la_renta_por_unidad_de_consumo,renta__mediana_de_la_renta_por_unidad_de_consumo,renta__renta_bruta_media_por_hogar,renta__renta_bruta_media_por_persona,renta__renta_neta_media_por_hogar,renta__renta_neta_media_por_persona,ingreso__fuente_de_ingreso_otras_prestaciones,ingreso__fuente_de_ingreso_otros_ingresos,ingreso__fuente_de_ingreso_pensiones,ingreso__fuente_de_ingreso_prestaciones_por_desempleo,ingreso__fuente_de_ingreso_salario,desig__distribucion_de_la_renta_p80_p20,desig__indice_de_gini,demog__edad_media_de_la_poblacion,demog__poblacion,demog__porcentaje_de_hogares_unipersonales,demog__porcentaje_de_poblacion_de_65_y_mas_anos,demog__porcentaje_de_poblacion_espanola,demog__porcentaje_de_poblacion_menor_de_18_anos,demog__tamano_medio_del_hogar,n_municipios_con_dato
01,Álava,2015,,,,,31424.0,13317.0,,,,,,,,44.8,188.0,31.2,20.6,94.5,16.8,2.4,51
01,Álava,2016,,,,,31993.0,13635.0,,,,,,,,44.8,203.0,31.1,20.9,94.1,16.8,2.4,51
01,Álava,2017,,,,,31876.0,13826.0,,,,,,,,45.0,200.0,32.0,20.6,93.8,16.9,2.4,51
01,Álava,2018,,,,,32811.0,13914.0,,,,,,,,45.0,201.0,32.2,20.6,93.6,16.4,2.4,51
01,Álava,2019,,,,,33831.5,14761.5,,,,,,,,45.6,197.5,33.0,21.0,93.4,15.649999999999999,2.4,50
01,Álava,2020,20507.0,19250.0,39240.0,17068.0,33079.0,14291.0,,14.3,,,57.1,2.5,30.4,45.8,192.0,32.4,21.6,93.1,15.6,2.4,51
01,Álava,2021,21779.0,19950.0,41122.0,17946.0,34362.0,15046.0,,15.9,,,56.5,2.6,30.6,45.9,195.0,33.5,22.1,93.4,15.2,2.4,51
01,Álava,2022,22518.0,20650.0,42715.0,18698.0,35415.0,15683.0,,14.9,,,57.2,2.5,30.4,46.3,198.0,33.1,22.7,93.2,15.1,2.4,51
01,Álava,2023,24587.0,22750.0,46790.0,20497.0,39586.0,17163.0,,15.0,,,57.4,2.3,27.2,46.7,203.0,33.3,22.7,92.3,15.1,2.4,51
02,Albacete,2015,11851.0,10150.0,21641.5,9101.0,19543.0,8174.5,4.7,11.95,29.5,3.9,48.3,2.5,30.9,48.05,79.048,34.3,28.15,96.30000000000001,12.75,2.4,86
02,Albacete,2016,12176.5,10850.0,22399.5,9429.0,20005.5,8428.0,4.5,12.75,28.3,3.6,49.55,2.5,30.299999999999997,48.5,79.5025,34.6,28.0,96.5,12.149999999999999,2.3,86
02,Albacete,2017,12570.0,10850.0,22943.5,9847.5,20400.0,8695.5,4.7,12.05,27.85,3.25,50.55,2.4,29.75,48.7,27.7045,35.55,28.1,95.94999999999999,11.9,2.3,84
02,Albacete,2018,13436.0,12250.0,24128.0,10531.0,21362.0,9358.0,4.7,12.6,26.6,3.1,51.3,2.4,29.0,49.2,30.108,36.6,28.6,96.0,11.6,2.3,85
02,Albacete,2019,14147.5,12950.0,25272.0,11091.5,22639.5,9846.0,4.9,11.9,25.85,3.05,52.75,2.3,28.7,49.0,27.490000000000002,36.25,28.35,95.7,11.8,2.3,84
02,Albacete,2020,14423.0,12950.0,26321.0,11362.0,23107.0,10051.0,4.9,11.15,25.9,5.2,50.75,2.3,28.65,49.2,62.0,37.5,27.9,95.4,11.6,2.2,87
02,Albacete,2021,15208.0,13650.0,27295.0,12141.0,23820.0,10592.0,5.1,12.350000000000001,25.799999999999997,3.8,51.650000000000006,2.4,28.65,49.2,60.0,37.5,28.0,95.1,11.4,2.2,87
02,Albacete,2022,16105.0,14350.0,28751.5,12799.0,25396.0,11210.5,5.0,11.5,26.65,3.0,53.7,2.4,28.8,49.3,72.12,37.900000000000006,28.1,94.65,11.55,2.2,84
02,Albacete,2023,17156.5,15400.0,30894.0,13790.0,26732.0,12060.0,5.2,11.149999999999999,27.1,3.0,53.4,2.3,28.3,49.7,72.2825,38.3,28.15,94.1,11.45,2.2,84
03,Alicante,2015,12894.0,11550.0,24243.0,9734.0,21014.0,8540.0,2.5,13.45,26.7,2.9,52.75,3.0,34.3,45.15,22.093,29.9,23.799999999999997,83.65,15.6,2.4,138
03,Alicante,2016,13074.5,11550.0,24943.0,9824.0,21455.0,8421.0,2.7,13.4,25.6,2.55,53.75,3.0,34.150000000000006,44.8,22.981,27.4,22.85,84.45,15.850000000000001,2.4,138
03,Alicante,2017,13694.0,12250.0,26068.0,10483.0,22548.0,9038.0,2.8,13.5,24.8,2.3,55.1,2.8,32.7,44.9,21.408,30.7,23.1,83.2,15.7,2.4,137
