Comunidad Autónoma,Provincia,año,cob_100mbps
Castilla-La Mancha,Albacete,2013,0.5259287182253989
Castilla-La Mancha,Albacete,2014,0.5296832078800676
Castilla-La Mancha,Albacete,2015,0.5375513492782533
Castilla-La Mancha,Albacete,2016,0.5367443313014003
Castilla-La Mancha,Albacete,2017,0.6216087636167863
Castilla-La Mancha,Albacete,2018,0.7469870485565688
Castilla-La Mancha,Albacete,2019,0.8850034964302771
Castilla-La Mancha,Albacete,2020,0.9207787963029151
Castilla-La Mancha,Albacete,2021,0.8754158964879852
Castilla-La Mancha,Albacete,2022,0.9006563181878587
Castilla-La Mancha,Albacete,2023,0.9251534117195206
Castilla-La Mancha,Albacete,2024,0.9297568539991462
Comunitat Valenciana,Alicante/Alacant,2013,0.5088916439626128
Comunitat Valenciana,Alicante/Alacant,2014,0.5234996632067899
Comunitat Valenciana,Alicante/Alacant,2015,0.5927499121193431
Comunitat Valenciana,Alicante/Alacant,2016,0.6112854876411544
Comunitat Valenciana,Alicante/Alacant,2017,0.7069838892371395
Comunitat Valenciana,Alicante/Alacant,2018,0.7977634862392313
Comunitat Valenciana,Alicante/Alacant,2019,0.8462530017968646
Comunitat Valenciana,Alicante/Alacant,2020,0.9087873275148888
Comunitat Valenciana,Alicante/Alacant,2021,0.883214201158043
Comunitat Valenciana,Alicante/Alacant,2022,0.9294347388906182
Comunitat Valenciana,Alicante/Alacant,2023,0.9459310114500196
Comunitat Valenciana,Alicante/Alacant,2024,0.9546456516845275
Andalucía,Almería,2013,0.2991602004680438
Andalucía,Almería,2014,0.2715176392981367
Andalucía,Almería,2015,0.39837488181006164
Andalucía,Almería,2016,0.4525381337582865
Andalucía,Almería,2017,0.5644888270837365
Andalucía,Almería,2018,0.6512600148821123
Andalucía,Almería,2019,0.6784424954986863
Andalucía,Almería,2020,0.7196700731307859
Andalucía,Almería,2021,0.8575419606735142
Andalucía,Almería,2022,0.8828112732619278
Andalucía,Almería,2023,0.9254560506593853
Andalucía,Almería,2024,0.9319736096201859
Pais Vasco,Araba/Álava,2013,0.7378477434443202
Pais Vasco,Araba/Álava,2014,0.750794103635152
Pais Vasco,Araba/Álava,2015,0.7749343461720208
Pais Vasco,Araba/Álava,2016,0.8345363392528087
Pais Vasco,Araba/Álava,2017,0.8480139145425828
Pais Vasco,Araba/Álava,2018,0.8542730823765242
Pais Vasco,Araba/Álava,2019,0.90412699367434
Pais Vasco,Araba/Álava,2020,0.9170071666875091
Pais Vasco,Araba/Álava,2021,0.9585483410219475
Pais Vasco,Araba/Álava,2022,0.9734770120112016
Pais Vasco,Araba/Álava,2023,0.9682576961988727
Pais Vasco,Araba/Álava,2024,0.9705342022272888
Asturias (Principado De),Asturias,2013,0.7920065920606196
Asturias (Principado De),Asturias,2014,0.7909476759421481
