ccaa,provincia,anyo,cob_100mbps_pct,delta_yoy,ranking_anio
Castilla-La Mancha,Albacete,2013,52.5929,,20
Castilla-La Mancha,Albacete,2014,52.9683,0.3754,22
Castilla-La Mancha,Albacete,2015,53.7551,0.7868,26
Castilla-La Mancha,Albacete,2016,53.6744,-0.0807,29
Castilla-La Mancha,Albacete,2017,62.1609,8.4865,27
Castilla-La Mancha,Albacete,2018,74.6987,12.5378,23
Castilla-La Mancha,Albacete,2019,88.5003,13.8016,10
Castilla-La Mancha,Albacete,2020,92.0779,3.5776,10
Castilla-La Mancha,Albacete,2021,87.5416,-4.5363,24
Castilla-La Mancha,Albacete,2022,90.0656,2.524,23
Castilla-La Mancha,Albacete,2023,92.5153,2.4497,27
Castilla-La Mancha,Albacete,2024,92.9757,0.4604,30
Comunitat Valenciana,Alicante/Alacant,2013,50.8892,,21
Comunitat Valenciana,Alicante/Alacant,2014,52.35,1.4608,23
Comunitat Valenciana,Alicante/Alacant,2015,59.275,6.925,21
Comunitat Valenciana,Alicante/Alacant,2016,61.1285,1.8535,24
Comunitat Valenciana,Alicante/Alacant,2017,70.6984,9.5699,20
Comunitat Valenciana,Alicante/Alacant,2018,79.7763,9.0779,18
Comunitat Valenciana,Alicante/Alacant,2019,84.6253,4.849,14
Comunitat Valenciana,Alicante/Alacant,2020,90.8787,6.2534,12
Comunitat Valenciana,Alicante/Alacant,2021,88.3214,-2.5573,20
Comunitat Valenciana,Alicante/Alacant,2022,92.9435,4.6221,13
Comunitat Valenciana,Alicante/Alacant,2023,94.5931,1.6496,14
Comunitat Valenciana,Alicante/Alacant,2024,95.4646,0.8715,15
Andalucía,Almería,2013,29.916,,38
Andalucía,Almería,2014,27.1518,-2.7642,45
Andalucía,Almería,2015,39.8375,12.6857,38
Andalucía,Almería,2016,45.2538,5.4163,37
Andalucía,Almería,2017,56.4489,11.1951,35
Andalucía,Almería,2018,65.126,8.6771,32
Andalucía,Almería,2019,67.8442,2.7182,36
Andalucía,Almería,2020,71.967,4.1228,42
Andalucía,Almería,2021,85.7542,13.7872,29
Andalucía,Almería,2022,88.2811,2.5269,28
Andalucía,Almería,2023,92.5456,4.2645,26
Andalucía,Almería,2024,93.1974,0.6518,29
Pais Vasco,Araba/Álava,2013,73.7848,,7
Pais Vasco,Araba/Álava,2014,75.0794,1.2946,8
Pais Vasco,Araba/Álava,2015,77.4934,2.414,9
Pais Vasco,Araba/Álava,2016,83.4536,5.9602,7
Pais Vasco,Araba/Álava,2017,84.8014,1.3478,7
Pais Vasco,Araba/Álava,2018,85.4273,0.6259,12
Pais Vasco,Araba/Álava,2019,90.4127,4.9854,8
Pais Vasco,Araba/Álava,2020,91.7007,1.288,11
Pais Vasco,Araba/Álava,2021,95.8548,4.1541,5
Pais Vasco,Araba/Álava,2022,97.3477,1.4929,5
Pais Vasco,Araba/Álava,2023,96.8258,-0.5219,6
Pais Vasco,Araba/Álava,2024,97.0534,0.2276,8
Asturias (Principado De),Asturias,2013,79.2007,,5
Asturias (Principado De),Asturias,2014,79.0948,-0.1059,6
Asturias (Principado De),Asturias,2015,79.3252,0.2304,8
Asturias (Principado De),Asturias,2016,79.4229,0.0977,9
Asturias (Principado De),Asturias,2017,79.8426,0.4197,13
Asturias (Principado De),Asturias,2018,80.3419,0.4993,16
Asturias (Principado De),Asturias,2019,79.9184,-0.4235,24
Asturias (Principado De),Asturias,2020,82.4247,2.5063,25
Asturias (Principado De),Asturias,2021,77.4915,-4.9332,38
Asturias (Principado De),Asturias,2022,79.1056,1.6141,39
Asturias (Principado De),Asturias,2023,83.7398,4.6342,43
Asturias (Principado De),Asturias,2024,87.8673,4.1275,42
Extremadura,Badajoz,2013,26.9287,,44
Extremadura,Badajoz,2014,27.447,0.5183,44
Extremadura,Badajoz,2015,34.7667,7.3197,43
Extremadura,Badajoz,2016,39.9084,5.1417,43
Extremadura,Badajoz,2017,52.247,12.3386,41
Extremadura,Badajoz,2018,59.776,7.529,42
Extremadura,Badajoz,2019,70.7889,11.0129,31
Extremadura,Badajoz,2020,80.1551,9.3662,27
Extremadura,Badajoz,2021,86.777,6.6219,26
Extremadura,Badajoz,2022,86.2874,-0.4896,32
Extremadura,Badajoz,2023,91.5572,5.2698,34
Extremadura,Badajoz,2024,92.8055,1.2483,32
Balears (Illes),"Balears, Illes",2013,45.6825,,28
Balears (Illes),"Balears, Illes",2014,44.4316,-1.2509,31
Balears (Illes),"Balears, Illes",2015,59.1245,14.6929,22
Balears (Illes),"Balears, Illes",2016,73.7621,14.6376,12
Balears (Illes),"Balears, Illes",2017,81.9403,8.1782,10
Balears (Illes),"Balears, Illes",2018,85.5724,3.6321,11
Balears (Illes),"Balears, Illes",2019,84.0114,-1.561,16
Balears (Illes),"Balears, Illes",2020,90.3695,6.3581,17
Balears (Illes),"Balears, Illes",2021,92.6583,2.2888,13
Balears (Illes),"Balears, Illes",2022,91.5537,-1.1046,19
Balears (Illes),"Balears, Illes",2023,92.2064,0.6527,31
Balears (Illes),"Balears, Illes",2024,95.4581,3.2517,16
Cataluña,Barcelona,2013,58.1505,,16
Cataluña,Barcelona,2014,74.0448,15.8943,9
Cataluña,Barcelona,2015,80.4209,6.3761,6
Cataluña,Barcelona,2016,90.5176,10.0967,5
Cataluña,Barcelona,2017,93.7521,3.2345,5
Cataluña,Barcelona,2018,95.6165,1.8644,4
Cataluña,Barcelona,2019,95.6246,0.0081,5
Cataluña,Barcelona,2020,95.5473,-0.0773,5
Cataluña,Barcelona,2021,98.4085,2.8612,4
Cataluña,Barcelona,2022,97.7583,-0.6502,4
Cataluña,Barcelona,2023,98.5817,0.8234,4
Cataluña,Barcelona,2024,98.832,0.2503,2
Pais Vasco,Bizkaia,2013,91.2849,,1
Pais Vasco,Bizkaia,2014,91.0963,-0.1886,1
Pais Vasco,Bizkaia,2015,92.282,1.1857,3
Pais Vasco,Bizkaia,2016,93.0295,0.7475,4
Pais Vasco,Bizkaia,2017,94.5139,1.4844,4
Pais Vasco,Bizkaia,2018,95.4825,0.9686,5
Pais Vasco,Bizkaia,2019,96.6585,1.176,4
Pais Vasco,Bizkaia,2020,96.927,0.2685,2
Pais Vasco,Bizkaia,2021,94.1827,-2.7443,7
Pais Vasco,Bizkaia,2022,94.714,0.5313,8
Pais Vasco,Bizkaia,2023,96.9325,2.2185,5
Pais Vasco,Bizkaia,2024,97.6577,0.7252,4
Castilla Y León,Burgos,2013,63.2866,,12
Castilla Y León,Burgos,2014,63.3015,0.0149,16
Castilla Y León,Burgos,2015,65.1418,1.8403,17
Castilla Y León,Burgos,2016,66.6085,1.4667,18
Castilla Y León,Burgos,2017,68.7665,2.158,21
Castilla Y León,Burgos,2018,70.3901,1.6236,26
Castilla Y León,Burgos,2019,72.5706,2.1805,27
Castilla Y León,Burgos,2020,76.0418,3.4712,35
Castilla Y León,Burgos,2021,71.8041,-4.2377,41
Castilla Y León,Burgos,2022,74.8066,3.0025,42
Castilla Y León,Burgos,2023,81.4084,6.6018,47
Castilla Y León,Burgos,2024,82.2585,0.8501,46
Cantabria,Cantabria,2013,62.5512,,13
Cantabria,Cantabria,2014,62.7457,0.1945,17
Cantabria,Cantabria,2015,63.5443,0.7986,19
Cantabria,Cantabria,2016,65.8866,2.3423,20
Cantabria,Cantabria,2017,68.3338,2.4472,22
Cantabria,Cantabria,2018,75.1535,6.8197,22
Cantabria,Cantabria,2019,75.5473,0.3938,26
Cantabria,Cantabria,2020,76.995,1.4477,31
Cantabria,Cantabria,2021,91.892,14.897,16
Cantabria,Cantabria,2022,94.4569,2.5649,9
Cantabria,Cantabria,2023,96.4476,1.9907,7
Cantabria,Cantabria,2024,97.5371,1.0895,5
Comunitat Valenciana,Castellón/Castelló,2013,65.6337,,10
Comunitat Valenciana,Castellón/Castelló,2014,65.6804,0.0467,15
Comunitat Valenciana,Castellón/Castelló,2015,65.9668,0.2864,15
Comunitat Valenciana,Castellón/Castelló,2016,67.4798,1.513,17
Comunitat Valenciana,Castellón/Castelló,2017,71.0154,3.5356,18
Comunitat Valenciana,Castellón/Castelló,2018,79.0186,8.0032,19
Comunitat Valenciana,Castellón/Castelló,2019,81.9703,2.9517,21
