CCAA,año,tasa_paro,compraventas,ipv_vivienda
Andalucía,2007,,167803.0,149.35250000000002
Andalucía,2008,,120198.0,149.30765000000002
Andalucía,2009,,86640.0,141.39659999999998
Andalucía,2010,,83195.0,137.98409999999998
Andalucía,2011,,72753.0,127.8243
Andalucía,2012,,62943.0,110.85754999999999
Andalucía,2013,,64131.0,98.32849999999999
Andalucía,2014,,63969.0,97.41245
Andalucía,2015,,70707.0,100.0
Andalucía,2016,,79352.0,103.22335000000001
Andalucía,2017,,89607.0,107.44324999999999
Andalucía,2018,,101412.0,113.303
Andalucía,2019,,100104.0,118.69775
Andalucía,2020,,83481.0,121.5112
Andalucía,2021,21.6775,117987.0,126.4002
Andalucía,2022,19.0225,134647.0,135.77545
Andalucía,2023,18.1575,117969.0,141.11790000000002
Andalucía,2024,,125363.0,152.9186
Andalucía,2025,,143802.0,172.50125
Andalucía,2026,,12125.0,
Aragón,2007,,20755.0,149.35250000000002
Aragón,2008,,14892.0,149.30765000000002
Aragón,2009,,12265.0,141.39659999999998
Aragón,2010,,12954.0,137.98409999999998
Aragón,2011,,9004.0,127.8243
Aragón,2012,,8290.0,110.85754999999999
Aragón,2013,,8217.0,98.32849999999999
Aragón,2014,,8055.0,97.41245
Aragón,2015,,9330.0,100.0
Aragón,2016,,10469.0,103.22335000000001
Aragón,2017,,12155.0,107.44324999999999
Aragón,2018,,13493.0,113.303
Aragón,2019,,13374.0,118.69775
Aragón,2020,,11608.0,121.5112
Aragón,2021,10.16,14935.0,126.4002
Aragón,2022,9.3975,16745.0,135.77545
Aragón,2023,8.2875,15152.0,141.11790000000002
Aragón,2024,,16458.0,152.9186
Aragón,2025,,19036.0,172.50125
Aragón,2026,,1540.0,
"Asturias, Principado de",2007,,17677.0,149.35250000000002
"Asturias, Principado de",2008,,13417.0,149.30765000000002
"Asturias, Principado de",2009,,8816.0,141.39659999999998
"Asturias, Principado de",2010,,9807.0,137.98409999999998
"Asturias, Principado de",2011,,7927.0,127.8243
"Asturias, Principado de",2012,,6611.0,110.85754999999999
"Asturias, Principado de",2013,,4930.0,98.32849999999999
"Asturias, Principado de",2014,,4897.0,97.41245
"Asturias, Principado de",2015,,5509.0,100.0
"Asturias, Principado de",2016,,6414.0,103.22335000000001
"Asturias, Principado de",2017,,7840.0,107.44324999999999
"Asturias, Principado de",2018,,8925.0,113.303
"Asturias, Principado de",2019,,8337.0,118.69775
"Asturias, Principado de",2020,,7627.0,121.5112
"Asturias, Principado de",2021,12.515,9406.0,126.4002
"Asturias, Principado de",2022,12.6325,11331.0,135.77545
"Asturias, Principado de",2023,12.1025,12070.0,141.11790000000002
"Asturias, Principado de",2024,,14416.0,152.9186
"Asturias, Principado de",2025,,15579.0,172.50125
"Asturias, Principado de",2026,,1199.0,
"Balears, Illes",2007,,20498.0,149.35250000000002
"Balears, Illes",2008,,12366.0,149.30765000000002
"Balears, Illes",2009,,8186.0,141.39659999999998
"Balears, Illes",2010,,9784.0,137.98409999999998
"Balears, Illes",2011,,8228.0,127.8243
"Balears, Illes",2012,,7930.0,110.85754999999999
"Balears, Illes",2013,,7831.0,98.32849999999999
"Balears, Illes",2014,,9251.0,97.41245
"Balears, Illes",2015,,10603.0,100.0
"Balears, Illes",2016,,13820.0,103.22335000000001
"Balears, Illes",2017,,15893.0,107.44324999999999
"Balears, Illes",2018,,15665.0,113.303
"Balears, Illes",2019,,13925.0,118.69775
"Balears, Illes",2020,,10684.0,121.5112
"Balears, Illes",2021,14.879999999999999,14168.0,126.4002
"Balears, Illes",2022,11.004999999999999,17813.0,135.77545
"Balears, Illes",2023,10.5975,14181.0,141.11790000000002
"Balears, Illes",2024,,13824.0,152.9186
"Balears, Illes",2025,,14525.0,172.50125
"Balears, Illes",2026,,1197.0,
Canarias,2007,,32103.0,149.35250000000002
Canarias,2008,,25326.0,149.30765000000002
Canarias,2009,,18352.0,141.39659999999998
Canarias,2010,,17114.0,137.98409999999998
Canarias,2011,,15520.0,127.8243
Canarias,2012,,14300.0,110.85754999999999
Canarias,2013,,15518.0,98.32849999999999
Canarias,2014,,17142.0,97.41245
Canarias,2015,,18454.0,100.0
Canarias,2016,,20702.0,103.22335000000001
Canarias,2017,,23074.0,107.44324999999999
Canarias,2018,,24224.0,113.303
Canarias,2019,,21316.0,118.69775
Canarias,2020,,16939.0,121.5112
Canarias,2021,23.240000000000002,20801.0,126.4002
Canarias,2022,17.59,27976.0,135.77545
Canarias,2023,15.96,23760.0,141.11790000000002
Canarias,2024,,24776.0,152.9186
Canarias,2025,,25888.0,172.50125
Canarias,2026,,2121.0,
Cantabria,2007,,11781.0,149.35250000000002
Cantabria,2008,,9066.0,149.30765000000002
Cantabria,2009,,7955.0,141.39659999999998
Cantabria,2010,,8124.0,137.98409999999998
Cantabria,2011,,6442.0,127.8243
Cantabria,2012,,4550.0,110.85754999999999
Cantabria,2013,,3867.0,98.32849999999999
Cantabria,2014,,3994.0,97.41245
Cantabria,2015,,4304.0,100.0
Cantabria,2016,,4741.0,103.22335000000001
Cantabria,2017,,5540.0,107.44324999999999
Cantabria,2018,,6475.0,113.303
Cantabria,2019,,6337.0,118.69775
Cantabria,2020,,5593.0,121.5112
Cantabria,2021,11.4675,7695.0,126.4002
Cantabria,2022,9.4125,8768.0,135.77545
Cantabria,2023,8.0925,7867.0,141.11790000000002
Cantabria,2024,,9141.0,152.9186
Cantabria,2025,,10448.0,172.50125
Cantabria,2026,,736.0,
Castilla - La Mancha,2007,,38639.0,149.35250000000002
Castilla - La Mancha,2008,,34113.0,149.30765000000002
Castilla - La Mancha,2009,,21053.0,141.39659999999998
Castilla - La Mancha,2010,,20481.0,137.98409999999998
Castilla - La Mancha,2011,,16421.0,127.8243
Castilla - La Mancha,2012,,16390.0,110.85754999999999
Castilla - La Mancha,2013,,14173.0,98.32849999999999
Castilla - La Mancha,2014,,12046.0,97.41245
Castilla - La Mancha,2015,,11941.0,100.0
Castilla - La Mancha,2016,,13390.0,103.22335000000001
Castilla - La Mancha,2017,,16473.0,107.44324999999999
Castilla - La Mancha,2018,,18987.0,113.303
Castilla - La Mancha,2019,,20190.0,118.69775
Castilla - La Mancha,2020,,17665.0,121.5112
Castilla - La Mancha,2021,15.65,23422.0,126.4002
Castilla - La Mancha,2022,14.2925,26864.0,135.77545
