ccaa,anyo,hipotecas_vivienda,ipv_vivienda
Andalucía,2003,176726.0,
Andalucía,2004,197480.0,
Andalucía,2005,241470.0,
Andalucía,2006,269178.0,
Andalucía,2007,254771.0,38.71
Andalucía,2008,157125.0,33.53
Andalucía,2009,116183.0,30.98
Andalucía,2010,107032.0,30.94
Andalucía,2011,78495.0,26.47
Andalucía,2012,52324.0,20.52
Andalucía,2013,38186.0,19.99
Andalucía,2014,38177.0,24.61
Andalucía,2015,46313.0,26.84
Andalucía,2016,54048.0,27.9
Andalucía,2017,60246.0,28.91
Andalucía,2018,65958.0,30.87
Andalucía,2019,68091.0,32.75
Andalucía,2020,63712.0,33.02
Andalucía,2021,83446.0,35.58
Andalucía,2022,91155.0,39.82
Andalucía,2023,76906.0,40.47
Andalucía,2024,82365.0,48.35
Aragón,2003,25447.0,
Aragón,2004,27290.0,
Aragón,2005,32176.0,
Aragón,2006,34562.0,
Aragón,2007,33824.0,46.12
Aragón,2008,24556.0,40.97
Aragón,2009,21189.0,35.13
Aragón,2010,17202.0,34.5
Aragón,2011,11564.0,29.13
Aragón,2012,8460.0,22.39
Aragón,2013,7011.0,18.62
Aragón,2014,5920.0,24.23
Aragón,2015,7065.0,25.62
Aragón,2016,8276.0,27.09
Aragón,2017,8499.0,28.05
Aragón,2018,9036.0,30.06
Aragón,2019,8979.0,32.19
Aragón,2020,9589.0,31.33
Aragón,2021,10947.0,33.45
Aragón,2022,12074.0,36.19
Aragón,2023,9578.0,37.87
Aragón,2024,10693.0,44.86
"Asturias, Principado de",2003,20817.0,
"Asturias, Principado de",2004,21236.0,
"Asturias, Principado de",2005,20042.0,
"Asturias, Principado de",2006,21934.0,
"Asturias, Principado de",2007,22164.0,41.26
"Asturias, Principado de",2008,16795.0,36.33
"Asturias, Principado de",2009,13810.0,35.72
"Asturias, Principado de",2010,13769.0,34.87
"Asturias, Principado de",2011,7907.0,29.55
"Asturias, Principado de",2012,5119.0,21.44
"Asturias, Principado de",2013,3687.0,18.78
"Asturias, Principado de",2014,3765.0,24.09
"Asturias, Principado de",2015,4314.0,26.2
"Asturias, Principado de",2016,4949.0,26.85
"Asturias, Principado de",2017,5733.0,26.63
"Asturias, Principado de",2018,6198.0,28.86
"Asturias, Principado de",2019,6223.0,30.2
"Asturias, Principado de",2020,6680.0,31.19
"Asturias, Principado de",2021,7268.0,32.6
"Asturias, Principado de",2022,8156.0,35.42
"Asturias, Principado de",2023,6862.0,36.88
"Asturias, Principado de",2024,8083.0,41.32
"Balears, Illes",2003,24916.0,
"Balears, Illes",2004,29884.0,
"Balears, Illes",2005,36554.0,
"Balears, Illes",2006,38093.0,
"Balears, Illes",2007,35025.0,38.61
"Balears, Illes",2008,20969.0,33.0
"Balears, Illes",2009,18249.0,27.93
"Balears, Illes",2010,17318.0,29.74
"Balears, Illes",2011,12554.0,25.82
"Balears, Illes",2012,9037.0,18.61
"Balears, Illes",2013,5939.0,20.01
"Balears, Illes",2014,5871.0,23.4
"Balears, Illes",2015,8334.0,28.58
"Balears, Illes",2016,9418.0,29.02
"Balears, Illes",2017,10128.0,32.55
"Balears, Illes",2018,10434.0,33.65
"Balears, Illes",2019,10032.0,35.56
"Balears, Illes",2020,9463.0,37.13
"Balears, Illes",2021,9222.0,39.88
"Balears, Illes",2022,11447.0,44.09
"Balears, Illes",2023,8958.0,45.29
"Balears, Illes",2024,10045.0,49.9
Canarias,2003,38669.0,
Canarias,2004,51205.0,
Canarias,2005,62214.0,
Canarias,2006,66987.0,
Canarias,2007,60921.0,39.34
Canarias,2008,41547.0,34.98
Canarias,2009,32820.0,31.79
Canarias,2010,26236.0,31.27
Canarias,2011,15898.0,27.73
Canarias,2012,11309.0,20.01
Canarias,2013,8838.0,20.08
Canarias,2014,9213.0,23.91
Canarias,2015,10910.0,27.18
Canarias,2016,12994.0,28.34
Canarias,2017,13418.0,29.69
Canarias,2018,13986.0,30.72
Canarias,2019,13972.0,31.57
Canarias,2020,12097.0,31.84
Canarias,2021,12584.0,35.35
Canarias,2022,15987.0,39.77
Canarias,2023,14216.0,40.79
Canarias,2024,14792.0,45.99
Cantabria,2003,12384.0,
Cantabria,2004,12399.0,
Cantabria,2005,13519.0,
Cantabria,2006,15876.0,
Cantabria,2007,16685.0,41.77
Cantabria,2008,13893.0,37.84
Cantabria,2009,12021.0,32.05
Cantabria,2010,9477.0,30.69
Cantabria,2011,5577.0,25.31
Cantabria,2012,3457.0,19.15
Cantabria,2013,2479.0,19.67
Cantabria,2014,2247.0,25.02
Cantabria,2015,2851.0,26.43
Cantabria,2016,3160.0,27.07
Cantabria,2017,3532.0,28.71
Cantabria,2018,3908.0,30.93
Cantabria,2019,4039.0,30.63
Cantabria,2020,3867.0,31.25
Cantabria,2021,5537.0,34.26
Cantabria,2022,5590.0,39.01
Cantabria,2023,4362.0,40.0
Cantabria,2024,4843.0,46.11
Castilla - La Mancha,2003,47721.0,
Castilla - La Mancha,2004,38689.0,
Castilla - La Mancha,2005,48831.0,
Castilla - La Mancha,2006,58034.0,
Castilla - La Mancha,2007,66720.0,43.03
Castilla - La Mancha,2008,45523.0,37.83
Castilla - La Mancha,2009,26322.0,35.0
Castilla - La Mancha,2010,23353.0,35.8
Castilla - La Mancha,2011,14480.0,29.52
Castilla - La Mancha,2012,10410.0,23.66
Castilla - La Mancha,2013,6900.0,17.12
Castilla - La Mancha,2014,7182.0,23.52
Castilla - La Mancha,2015,8077.0,26.47
Castilla - La Mancha,2016,10013.0,26.27
Castilla - La Mancha,2017,10892.0,26.39
Castilla - La Mancha,2018,12477.0,29.0
Castilla - La Mancha,2019,14632.0,30.8
Castilla - La Mancha,2020,12467.0,29.15
Castilla - La Mancha,2021,16395.0,30.47
Castilla - La Mancha,2022,17013.0,33.68
Castilla - La Mancha,2023,15157.0,32.9
Castilla - La Mancha,2024,17425.0,37.42
Castilla y León,2003,33247.0,
Castilla y León,2004,47414.0,
Castilla y León,2005,48961.0,
Castilla y León,2006,56931.0,
Castilla y León,2007,56058.0,42.84
Castilla y León,2008,46527.0,38.46
Castilla y León,2009,36821.0,36.01
Castilla y León,2010,32642.0,35.28
Castilla y León,2011,22266.0,29.93
Castilla y León,2012,14641.0,23.0
Castilla y León,2013,9649.0,18.09
Castilla y León,2014,9046.0,24.18
Castilla y León,2015,10026.0,25.71
Castilla y León,2016,11280.0,26.13
Castilla y León,2017,12058.0,26.88
Castilla y León,2018,12784.0,29.87
Castilla y León,2019,13266.0,31.72
Castilla y León,2020,13666.0,31.03
Castilla y León,2021,16858.0,32.79
Castilla y León,2022,18328.0,35.49
Castilla y León,2023,15540.0,36.1
Castilla y León,2024,17769.0,40.97
Cataluña,2003,193121.0,
Cataluña,2004,211116.0,
Cataluña,2005,229425.0,
Cataluña,2006,243346.0,
Cataluña,2007,196457.0,44.86
Cataluña,2008,119315.0,36.86
Cataluña,2009,94277.0,30.45
Cataluña,2010,94752.0,33.0
Cataluña,2011,63547.0,25.86
Cataluña,2012,43086.0,18.89
Cataluña,2013,30059.0,18.27
Cataluña,2014,30646.0,24.75
Cataluña,2015,38825.0,27.81
Cataluña,2016,46083.0,30.28
Cataluña,2017,50881.0,34.06
Cataluña,2018,58136.0,36.04
Cataluña,2019,58699.0,36.11
Cataluña,2020,54688.0,37.05
Cataluña,2021,70366.0,38.29
Cataluña,2022,81068.0,42.24
Cataluña,2023,65785.0,43.37
Cataluña,2024,73480.0,48.6
Ceuta,2007,,40.43
Ceuta,2008,,33.82
Ceuta,2009,,31.59
Ceuta,2010,949.0,29.89
Ceuta,2011,541.0,23.73
Ceuta,2012,298.0,19.69
Ceuta,2013,238.0,20.41
Ceuta,2014,276.0,24.16
Ceuta,2015,266.0,27.94
Ceuta,2016,335.0,28.86
Ceuta,2017,374.0,31.61
Ceuta,2018,335.0,34.62
Ceuta,2019,348.0,36.21
Ceuta,2020,309.0,36.61
Ceuta,2021,235.0,37.48
Ceuta,2022,410.0,42.49
Ceuta,2023,446.0,43.03
Ceuta,2024,523.0,49.14
Comunitat Valenciana,2003,139146.0,
Comunitat Valenciana,2004,156790.0,
Comunitat Valenciana,2005,182876.0,
Comunitat Valenciana,2006,191072.0,
Comunitat Valenciana,2007,179062.0,40.57
Comunitat Valenciana,2008,105091.0,36.32
Comunitat Valenciana,2009,83357.0,31.4
Comunitat Valenciana,2010,70256.0,31.59
Comunitat Valenciana,2011,43552.0,26.52
Comunitat Valenciana,2012,28092.0,19.69
Comunitat Valenciana,2013,19905.0,20.28
Comunitat Valenciana,2014,21717.0,25.41
Comunitat Valenciana,2015,25390.0,26.6
Comunitat Valenciana,2016,29441.0,27.58
Comunitat Valenciana,2017,32854.0,28.4
Comunitat Valenciana,2018,37970.0,30.09
Comunitat Valenciana,2019,40592.0,31.38
Comunitat Valenciana,2020,37307.0,31.59
Comunitat Valenciana,2021,47867.0,33.83
Comunitat Valenciana,2022,53616.0,37.04
Comunitat Valenciana,2023,43531.0,38.33
Comunitat Valenciana,2024,49715.0,44.27
Extremadura,2003,14995.0,
Extremadura,2004,15215.0,
Extremadura,2005,18412.0,
Extremadura,2006,20129.0,
Extremadura,2007,23030.0,39.66
Extremadura,2008,17856.0,35.67
Extremadura,2009,13520.0,35.26
Extremadura,2010,12739.0,35.91
Extremadura,2011,8166.0,29.08
Extremadura,2012,4878.0,25.93
Extremadura,2013,3254.0,17.57
Extremadura,2014,3711.0,23.11
Extremadura,2015,4116.0,26.7
Extremadura,2016,4782.0,27.43
Extremadura,2017,4940.0,26.56
Extremadura,2018,5364.0,29.62
Extremadura,2019,5563.0,30.68
Extremadura,2020,5949.0,28.43
Extremadura,2021,7431.0,30.59
Extremadura,2022,7673.0,33.36
Extremadura,2023,6256.0,32.41
Extremadura,2024,7080.0,37.05
Galicia,2003,38745.0,
Galicia,2004,44453.0,
Galicia,2005,44806.0,
Galicia,2006,42903.0,
Galicia,2007,42936.0,39.35
Galicia,2008,36925.0,35.84
Galicia,2009,33197.0,33.89
Galicia,2010,31778.0,33.21
Galicia,2011,21135.0,28.87
Galicia,2012,11980.0,21.26
Galicia,2013,9028.0,19.13
Galicia,2014,8552.0,24.9
Galicia,2015,9789.0,26.18
Galicia,2016,10107.0,27.16
Galicia,2017,11099.0,27.6
Galicia,2018,11484.0,30.0
Galicia,2019,11356.0,31.06
Galicia,2020,11533.0,31.12
Galicia,2021,14447.0,33.57
Galicia,2022,15802.0,36.36
Galicia,2023,12430.0,37.74
Galicia,2024,15644.0,42.26
"Madrid, Comunidad de",2003,132970.0,
"Madrid, Comunidad de",2004,153666.0,
"Madrid, Comunidad de",2005,164084.0,
"Madrid, Comunidad de",2006,159564.0,
"Madrid, Comunidad de",2007,137344.0,41.73
"Madrid, Comunidad de",2008,101758.0,34.39
"Madrid, Comunidad de",2009,81509.0,28.65
"Madrid, Comunidad de",2010,85088.0,33.89
"Madrid, Comunidad de",2011,56755.0,25.23
"Madrid, Comunidad de",2012,39002.0,19.21
"Madrid, Comunidad de",2013,31843.0,18.06
"Madrid, Comunidad de",2014,35444.0,24.91
"Madrid, Comunidad de",2015,43394.0,28.17
"Madrid, Comunidad de",2016,48571.0,31.47
"Madrid, Comunidad de",2017,56989.0,35.76
"Madrid, Comunidad de",2018,66106.0,37.36
"Madrid, Comunidad de",2019,70581.0,37.77
"Madrid, Comunidad de",2020,61445.0,37.77
"Madrid, Comunidad de",2021,73389.0,39.05
"Madrid, Comunidad de",2022,79894.0,42.81
"Madrid, Comunidad de",2023,63699.0,44.44
"Madrid, Comunidad de",2024,71620.0,49.46
Melilla,2007,,39.95
Melilla,2008,,34.27
Melilla,2009,,35.49
Melilla,2010,880.0,34.38
Melilla,2011,584.0,25.78
Melilla,2012,589.0,22.43
Melilla,2013,259.0,17.87
Melilla,2014,392.0,24.66
Melilla,2015,528.0,27.1
Melilla,2016,458.0,28.65
Melilla,2017,400.0,30.77
Melilla,2018,491.0,33.58
Melilla,2019,379.0,33.71
Melilla,2020,375.0,35.35
Melilla,2021,566.0,38.22
Melilla,2022,575.0,42.01
Melilla,2023,383.0,42.34
Melilla,2024,406.0,47.93
"Murcia, Región de",2003,35726.0,
"Murcia, Región de",2004,42323.0,
"Murcia, Región de",2005,50602.0,
"Murcia, Región de",2006,54859.0,
"Murcia, Región de",2007,51690.0,41.17
"Murcia, Región de",2008,38678.0,36.24
"Murcia, Región de",2009,25032.0,34.63
"Murcia, Región de",2010,20652.0,34.11
"Murcia, Región de",2011,13320.0,29.82
"Murcia, Región de",2012,8362.0,23.41
"Murcia, Región de",2013,5418.0,16.65
"Murcia, Región de",2014,5558.0,25.23
"Murcia, Región de",2015,6935.0,26.18
"Murcia, Región de",2016,7493.0,26.98
"Murcia, Región de",2017,7878.0,27.11
"Murcia, Región de",2018,8419.0,29.52
"Murcia, Región de",2019,8881.0,31.68
"Murcia, Región de",2020,9032.0,31.96
"Murcia, Región de",2021,12689.0,34.49
"Murcia, Región de",2022,13775.0,37.59
"Murcia, Región de",2023,11177.0,37.0
"Murcia, Región de",2024,12193.0,43.04
"Navarra, Comunidad Foral de",2003,9214.0,
"Navarra, Comunidad Foral de",2004,11648.0,
"Navarra, Comunidad Foral de",2005,12614.0,
"Navarra, Comunidad Foral de",2006,13292.0,
"Navarra, Comunidad Foral de",2007,12246.0,49.01
"Navarra, Comunidad Foral de",2008,8603.0,43.32
"Navarra, Comunidad Foral de",2009,7357.0,35.54
"Navarra, Comunidad Foral de",2010,7076.0,35.13
"Navarra, Comunidad Foral de",2011,5520.0,30.63
"Navarra, Comunidad Foral de",2012,4095.0,23.4
"Navarra, Comunidad Foral de",2013,3170.0,20.18
"Navarra, Comunidad Foral de",2014,3710.0,22.26
"Navarra, Comunidad Foral de",2015,3769.0,25.8
"Navarra, Comunidad Foral de",2016,3990.0,26.66
"Navarra, Comunidad Foral de",2017,4069.0,27.43
"Navarra, Comunidad Foral de",2018,4739.0,29.22
"Navarra, Comunidad Foral de",2019,4508.0,30.25
"Navarra, Comunidad Foral de",2020,4201.0,30.07
"Navarra, Comunidad Foral de",2021,5190.0,31.27
"Navarra, Comunidad Foral de",2022,5219.0,35.37
"Navarra, Comunidad Foral de",2023,4555.0,37.2
"Navarra, Comunidad Foral de",2024,5553.0,43.97
País Vasco,2003,36693.0,
País Vasco,2004,37208.0,
País Vasco,2005,41060.0,
País Vasco,2006,43328.0,
País Vasco,2007,37977.0,43.56
País Vasco,2008,31712.0,36.89
País Vasco,2009,27447.0,30.55
País Vasco,2010,30230.0,33.68
País Vasco,2011,23065.0,27.39
País Vasco,2012,16920.0,19.86
País Vasco,2013,12146.0,21.38
País Vasco,2014,11469.0,24.49
País Vasco,2015,14283.0,25.56
País Vasco,2016,15574.0,27.01
País Vasco,2017,16799.0,30.54
País Vasco,2018,18169.0,31.81
País Vasco,2019,18961.0,32.77
País Vasco,2020,19252.0,33.47
País Vasco,2021,21098.0,33.42
País Vasco,2022,23076.0,37.18
País Vasco,2023,19052.0,37.86
País Vasco,2024,20825.0,44.52
"Rioja, La",2003,7708.0,
"Rioja, La",2004,7320.0,
"Rioja, La",2005,7884.0,
"Rioja, La",2006,9573.0,
"Rioja, La",2007,9268.0,46.95
"Rioja, La",2008,7587.0,41.57
"Rioja, La",2009,6510.0,37.67
"Rioja, La",2010,6106.0,36.76
"Rioja, La",2011,3535.0,28.31
"Rioja, La",2012,1814.0,22.38
"Rioja, La",2013,1694.0,18.83
"Rioja, La",2014,1406.0,24.29
"Rioja, La",2015,1582.0,25.49
"Rioja, La",2016,1735.0,27.06
"Rioja, La",2017,2054.0,27.67
"Rioja, La",2018,2332.0,30.75
"Rioja, La",2019,2189.0,32.66
"Rioja, La",2020,2120.0,31.83
"Rioja, La",2021,2523.0,33.92
"Rioja, La",2022,3249.0,37.43
"Rioja, La",2023,2073.0,37.24
"Rioja, La",2024,2468.0,43.79
