provincia,anyo,compraventas_vivienda,poblacion_provincia,viajeros,pernoctaciones,compraventas_per_capita
Albacete,1996,,359010.0,,,
Albacete,1996,,178130.0,,,
Albacete,1996,,180880.0,,,
Albacete,1998,,358597.0,,,
Albacete,1998,,178058.0,,,
Albacete,1998,,180539.0,,,
Albacete,1999,,361021.0,1625230.0,6716.0,
Albacete,1999,,179210.0,1625230.0,6716.0,
Albacete,1999,,181811.0,1625230.0,6716.0,
Albacete,2000,,363263.0,1754326.0,5832.0,
Albacete,2000,,180311.0,1754326.0,5832.0,
Albacete,2000,,182952.0,1754326.0,5832.0,
Albacete,2001,,367283.0,1855254.0,72005.0,
Albacete,2001,,182826.0,1855254.0,72005.0,
Albacete,2001,,184457.0,1855254.0,72005.0,
Albacete,2002,,371787.0,1741792.0,71453.0,
Albacete,2002,,185458.0,1741792.0,71453.0,
Albacete,2002,,186329.0,1741792.0,71453.0,
Albacete,2003,,376556.0,1746236.0,71582.0,
Albacete,2003,,188139.0,1746236.0,71582.0,
Albacete,2003,,188417.0,1746236.0,71582.0,
Albacete,2004,,379448.0,1753027.0,73117.0,
Albacete,2004,,189743.0,1753027.0,73117.0,
Albacete,2004,,189705.0,1753027.0,73117.0,
Albacete,2005,,384640.0,1880009.0,71133.0,
Albacete,2005,,192624.0,1880009.0,71133.0,
Albacete,2005,,192016.0,1880009.0,71133.0,
Albacete,2006,,387658.0,1902863.0,67531.0,
Albacete,2006,,194348.0,1902863.0,67531.0,
Albacete,2006,,193310.0,1902863.0,67531.0,
Albacete,2007,18753.0,392110.0,2049779.0,74200.0,0.047826
Albacete,2007,18753.0,196772.0,2049779.0,74200.0,0.095303
Albacete,2007,18753.0,195338.0,2049779.0,74200.0,0.096003
Albacete,2008,13128.0,397493.0,2095665.0,76537.0,0.033027
Albacete,2008,13128.0,199820.0,2095665.0,76537.0,0.065699
Albacete,2008,13128.0,197673.0,2095665.0,76537.0,0.066413
Albacete,2009,10092.0,400891.0,2019107.0,85010.0,0.025174
Albacete,2009,10092.0,201162.0,2019107.0,85010.0,0.050169
Albacete,2009,10092.0,199729.0,2019107.0,85010.0,0.050528
Albacete,2010,12228.0,401682.0,2137765.0,94734.0,0.030442
Albacete,2010,12228.0,201396.0,2137765.0,94734.0,0.060716
Albacete,2010,12228.0,200286.0,2137765.0,94734.0,0.061053
Albacete,2011,7479.0,402318.0,2091433.0,97838.0,0.01859
Albacete,2011,7479.0,201400.0,2091433.0,97838.0,0.037135
Albacete,2011,7479.0,200918.0,2091433.0,97838.0,0.037224
Albacete,2012,6264.0,402837.0,1837837.0,97003.0,0.01555
Albacete,2012,6264.0,201640.0,1837837.0,97003.0,0.031065
Albacete,2012,6264.0,201197.0,1837837.0,97003.0,0.031134
Albacete,2013,5547.0,400007.0,1757490.0,93412.0,0.013867
Albacete,2013,5547.0,200016.0,1757490.0,93412.0,0.027733
Albacete,2013,5547.0,199991.0,1757490.0,93412.0,0.027736
Albacete,2014,5757.0,396987.0,1729976.0,88974.0,0.014502
Albacete,2014,5757.0,198230.0,1729976.0,88974.0,0.029042
Albacete,2014,5757.0,198757.0,1729976.0,88974.0,0.028965
Albacete,2015,5904.0,394580.0,1855499.0,124102.0,0.014963
Albacete,2015,5904.0,197014.0,1855499.0,124102.0,0.029967
Albacete,2015,5904.0,197566.0,1855499.0,124102.0,0.029884
Albacete,2016,6534.0,392118.0,1931294.0,122779.0,0.016663
Albacete,2016,6534.0,195841.0,1931294.0,122779.0,0.033364
Albacete,2016,6534.0,196277.0,1931294.0,122779.0,0.03329
Albacete,2017,8223.0,390032.0,2052147.0,121194.0,0.021083
Albacete,2017,8223.0,194743.0,2052147.0,121194.0,0.042225
Albacete,2017,8223.0,195289.0,2052147.0,121194.0,0.042107
Albacete,2018,8874.0,388786.0,2101568.0,117958.0,0.022825
Albacete,2018,8874.0,194158.0,2101568.0,117958.0,0.045705
Albacete,2018,8874.0,194628.0,2101568.0,117958.0,0.045595
Albacete,2019,9510.0,388167.0,2259097.0,118030.0,0.0245
Albacete,2019,9510.0,193911.0,2259097.0,118030.0,0.049043
Albacete,2019,9510.0,194256.0,2259097.0,118030.0,0.048956
Albacete,2020,8013.0,388270.0,978192.0,77501.0,0.020638
Albacete,2020,8013.0,194081.0,978192.0,77501.0,0.041287
Albacete,2020,8013.0,194189.0,978192.0,77501.0,0.041264
Albacete,2021,10338.0,386464.0,1570725.0,100436.0,0.02675
Albacete,2021,10338.0,193205.0,1570725.0,100436.0,0.053508
Albacete,2021,10338.0,193259.0,1570725.0,100436.0,0.053493
Albacete,2022,12087.0,,2214320.0,119004.0,
Albacete,2023,11028.0,,2304692.0,119630.0,
Albacete,2024,11448.0,,2453222.0,121552.0,
Alicante/Alacant,1996,,1379762.0,,,
Alicante/Alacant,1996,,677118.0,,,
Alicante/Alacant,1996,,702644.0,,,
Alicante/Alacant,1998,,1388933.0,,,
Alicante/Alacant,1998,,682380.0,,,
Alicante/Alacant,1998,,706553.0,,,
Alicante/Alacant,1999,,1410946.0,33116704.0,78668.0,
Alicante/Alacant,1999,,693933.0,33116704.0,78668.0,
Alicante/Alacant,1999,,717013.0,33116704.0,78668.0,
Alicante/Alacant,2000,,1445144.0,34108362.0,59544.0,
Alicante/Alacant,2000,,710896.0,34108362.0,59544.0,
Alicante/Alacant,2000,,734248.0,34108362.0,59544.0,
Alicante/Alacant,2001,,1490265.0,34224405.0,688063.0,
Alicante/Alacant,2001,,735179.0,34224405.0,688063.0,
Alicante/Alacant,2001,,755086.0,34224405.0,688063.0,
Alicante/Alacant,2002,,1557968.0,33132274.0,723847.0,
Alicante/Alacant,2002,,772613.0,33132274.0,723847.0,
Alicante/Alacant,2002,,785355.0,33132274.0,723847.0,
Alicante/Alacant,2003,,1632349.0,34683887.0,784219.0,
Alicante/Alacant,2003,,811672.0,34683887.0,784219.0,
Alicante/Alacant,2003,,820677.0,34683887.0,784219.0,
Alicante/Alacant,2004,,1657040.0,34324932.0,819309.0,
Alicante/Alacant,2004,,825568.0,34324932.0,819309.0,
Alicante/Alacant,2004,,831472.0,34324932.0,819309.0,
Alicante/Alacant,2005,,1732389.0,36574397.0,829807.0,
Alicante/Alacant,2005,,866000.0,36574397.0,829807.0,
Alicante/Alacant,2005,,866389.0,36574397.0,829807.0,
Alicante/Alacant,2006,,1783555.0,39487404.0,876103.0,
Alicante/Alacant,2006,,892862.0,39487404.0,876103.0,
Alicante/Alacant,2006,,890693.0,39487404.0,876103.0,
Alicante/Alacant,2007,156960.0,1825264.0,39480871.0,888407.0,0.085993
Alicante/Alacant,2007,156960.0,913455.0,39480871.0,888407.0,0.171831
Alicante/Alacant,2007,156960.0,911809.0,39480871.0,888407.0,0.172141
Alicante/Alacant,2008,96333.0,1891477.0,36918532.0,906659.0,0.05093
Alicante/Alacant,2008,96333.0,947523.0,36918532.0,906659.0,0.101668
Alicante/Alacant,2008,96333.0,943954.0,36918532.0,906659.0,0.102053
Alicante/Alacant,2009,71016.0,1917012.0,34943031.0,915190.0,0.037045
Alicante/Alacant,2009,71016.0,958200.0,34943031.0,915190.0,0.074114
Alicante/Alacant,2009,71016.0,958812.0,34943031.0,915190.0,0.074067
Alicante/Alacant,2010,74199.0,1926285.0,35830395.0,913888.0,0.038519
Alicante/Alacant,2010,74199.0,961733.0,35830395.0,913888.0,0.077151
Alicante/Alacant,2010,74199.0,964552.0,35830395.0,913888.0,0.076926
Alicante/Alacant,2011,65271.0,1934127.0,37304918.0,907026.0,0.033747
Alicante/Alacant,2011,65271.0,964560.0,37304918.0,907026.0,0.067669
Alicante/Alacant,2011,65271.0,969567.0,37304918.0,907026.0,0.06732
Alicante/Alacant,2012,65418.0,1943910.0,36714764.0,911343.0,0.033653
Alicante/Alacant,2012,65418.0,969237.0,36714764.0,911343.0,0.067494
Alicante/Alacant,2012,65418.0,974673.0,36714764.0,911343.0,0.067118
Alicante/Alacant,2013,71955.0,1945642.0,38534703.0,911688.0,0.036983
Alicante/Alacant,2013,71955.0,968927.0,38534703.0,911688.0,0.074263
Alicante/Alacant,2013,71955.0,976715.0,38534703.0,911688.0,0.07367
Alicante/Alacant,2014,73170.0,1868438.0,38948751.0,915809.0,0.039161
Alicante/Alacant,2014,73170.0,928519.0,38948751.0,915809.0,0.078803
Alicante/Alacant,2014,73170.0,939919.0,38948751.0,915809.0,0.077847
Alicante/Alacant,2015,80574.0,1855047.0,40672244.0,1317961.0,0.043435
Alicante/Alacant,2015,80574.0,920920.0,40672244.0,1317961.0,0.087493
Alicante/Alacant,2015,80574.0,934127.0,40672244.0,1317961.0,0.086256
Alicante/Alacant,2016,89067.0,1836459.0,43723516.0,1333381.0,0.048499
Alicante/Alacant,2016,89067.0,911173.0,43723516.0,1333381.0,0.09775
Alicante/Alacant,2016,89067.0,925286.0,43723516.0,1333381.0,0.096259
Alicante/Alacant,2017,104151.0,1825332.0,44870341.0,1364795.0,0.057059
