provincia,anyo,entradas,salidas,saldo_neto
Albacete,2008,2023,5071,-3048
Albacete,2009,4066,5010,-944
Albacete,2010,5095,5176,-81
Albacete,2011,16361,5190,11171
Albacete,2012,4803,5178,-375
Albacete,2013,19672,5111,14561
Albacete,2014,19643,5177,14466
Albacete,2015,8723,5268,3455
Albacete,2016,18909,4972,13937
Albacete,2017,17493,4827,12666
Albacete,2018,4930,5110,-180
Albacete,2019,4154,4919,-765
Albacete,2020,12952,3758,9194
Albacete,2021,1531,4687,-3156
Alicante/Alacant,2008,20356,22239,-1883
Alicante/Alacant,2009,4057,22248,-18191
Alicante/Alacant,2010,2810,20842,-18032
Alicante/Alacant,2011,4901,19565,-14664
Alicante/Alacant,2012,13250,18732,-5482
Alicante/Alacant,2013,2314,17629,-15315
Alicante/Alacant,2014,11528,18248,-6720
Alicante/Alacant,2015,13311,17966,-4655
Alicante/Alacant,2016,9225,17438,-8213
Alicante/Alacant,2017,9062,16837,-7775
Alicante/Alacant,2018,5784,17178,-11394
Alicante/Alacant,2019,17324,17591,-267
Alicante/Alacant,2020,51088,14019,37069
Alicante/Alacant,2021,3944,16495,-12551
Almería,2008,2285,12326,-10041
Almería,2009,2700,9307,-6607
Almería,2010,47336,9344,37992
Almería,2011,5600,10706,-5106
Almería,2012,4046,8356,-4310
Almería,2013,8705,7695,1010
Almería,2014,5705,7639,-1934
Almería,2015,3093,8072,-4979
Almería,2016,1869,7607,-5738
Almería,2017,3625,7789,-4164
Almería,2018,70306,8226,62080
Almería,2019,8769,8531,238
Almería,2020,3849,7003,-3154
Almería,2021,3893,8025,-4132
Araba/Álava,2008,10633,3724,6909
Araba/Álava,2009,8356,3672,4684
Araba/Álava,2010,15471,3670,11801
Araba/Álava,2011,2322,3657,-1335
Araba/Álava,2012,18309,3714,14595
Araba/Álava,2013,3677,3785,-108
Araba/Álava,2014,6169,3662,2507
Araba/Álava,2015,4652,3624,1028
Araba/Álava,2016,8482,3614,4868
Araba/Álava,2017,1245,3716,-2471
Araba/Álava,2018,3505,3822,-317
Araba/Álava,2019,1737,3918,-2181
Araba/Álava,2020,15503,3519,11984
Araba/Álava,2021,5664,3946,1718
Asturias,2008,24662,7780,16882
Asturias,2009,2437,8009,-5572
Asturias,2010,9608,8515,1093
Asturias,2011,2919,8431,-5512
Asturias,2012,4897,7986,-3089
Asturias,2013,12005,7906,4099
Asturias,2014,8961,8030,931
Asturias,2015,1875,7868,-5993
Asturias,2016,3825,7493,-3668
Asturias,2017,12197,7287,4910
Asturias,2018,1326,7394,-6068
Asturias,2019,3771,7429,-3658
Asturias,2020,3575,6065,-2490
Asturias,2021,4154,6988,-2834
Badajoz,2008,2121,6486,-4365
Badajoz,2009,9417,6152,3265
Badajoz,2010,4003,6174,-2171
Badajoz,2011,5986,6405,-419
Badajoz,2012,1697,6450,-4753
Badajoz,2013,7023,6381,642
Badajoz,2014,5298,6768,-1470
Badajoz,2015,12470,6620,5850
Badajoz,2016,41369,6807,34562
Badajoz,2017,16844,6868,9976
Badajoz,2018,4228,6878,-2650
Badajoz,2019,2580,6930,-4350
Badajoz,2020,11099,5086,6013
Badajoz,2021,19526,6172,13354
"Balears, Illes",2008,20257,15223,5034
"Balears, Illes",2009,2738,16095,-13357
"Balears, Illes",2010,8336,16576,-8240
"Balears, Illes",2011,6734,16104,-9370
"Balears, Illes",2012,5108,13913,-8805
"Balears, Illes",2013,42972,12556,30416
"Balears, Illes",2014,6835,13364,-6529
"Balears, Illes",2015,5670,13672,-8002
"Balears, Illes",2016,1744,12261,-10517
"Balears, Illes",2017,6161,13787,-7626
"Balears, Illes",2018,8570,14148,-5578
"Balears, Illes",2019,7168,15528,-8360
"Balears, Illes",2020,5296,14006,-8710
"Balears, Illes",2021,13717,15509,-1792
Barcelona,2008,5770,54264,-48494
Barcelona,2009,19579,50037,-30458
Barcelona,2010,9477,49101,-39624
Barcelona,2011,6606,47425,-40819
Barcelona,2012,18208,45250,-27042
Barcelona,2013,2132,42899,-40767
Barcelona,2014,5770,39827,-34057
Barcelona,2015,5065,39178,-34113
Barcelona,2016,12595,38769,-26174
Barcelona,2017,5561,38356,-32795
Barcelona,2018,1611,43374,-41763
Barcelona,2019,4039,43791,-39752
Barcelona,2020,7436,45486,-38050
Barcelona,2021,5942,50376,-44434
Bizkaia,2008,2608,9977,-7369
Bizkaia,2009,8832,9173,-341
Bizkaia,2010,3782,9634,-5852
Bizkaia,2011,8183,9194,-1011
Bizkaia,2012,6414,8539,-2125
Bizkaia,2013,2503,8707,-6204
Bizkaia,2014,6934,8491,-1557
Bizkaia,2015,9411,8651,760
Bizkaia,2016,11230,8351,2879
Bizkaia,2017,71092,8740,62352
Bizkaia,2018,6220,8864,-2644
Bizkaia,2019,15215,8918,6297
Bizkaia,2020,5656,8573,-2917
Bizkaia,2021,6526,9967,-3441
Burgos,2008,9318,5195,4123
Burgos,2009,13701,5158,8543
Burgos,2010,71564,5193,66371
Burgos,2011,10889,5141,5748
Burgos,2012,6222,5057,1165
Burgos,2013,6988,4880,2108
Burgos,2014,9891,4909,4982
Burgos,2015,10954,4847,6107
Burgos,2016,72057,4754,67303
Burgos,2017,3320,4506,-1186
Burgos,2018,1771,4710,-2939
Burgos,2019,8018,4652,3366
Burgos,2020,3650,4071,-421
Burgos,2021,3714,4558,-844
Cantabria,2008,4279,5781,-1502
Cantabria,2009,1619,5796,-4177
Cantabria,2010,1529,6219,-4690
Cantabria,2011,3162,6371,-3209
Cantabria,2012,4665,6089,-1424
Cantabria,2013,10222,5743,4479
Cantabria,2014,8289,5852,2437
Cantabria,2015,5576,5778,-202
Cantabria,2016,3155,5539,-2384
Cantabria,2017,4545,5584,-1039
Cantabria,2018,12356,5756,6600
Cantabria,2019,3539,5894,-2355
Cantabria,2020,1443,4659,-3216
Cantabria,2021,62546,5585,56961
Castellón/Castelló,2008,4714,7459,-2745
Castellón/Castelló,2009,15292,8071,7221
Castellón/Castelló,2010,3271,8253,-4982
Castellón/Castelló,2011,75499,8071,67428
Castellón/Castelló,2012,3538,7304,-3766
Castellón/Castelló,2013,5782,6775,-993
Castellón/Castelló,2014,12521,7041,5480
Castellón/Castelló,2015,19585,6917,12668
Castellón/Castelló,2016,5935,6504,-569
Castellón/Castelló,2017,11490,6025,5465
Castellón/Castelló,2018,17789,5679,12110
Castellón/Castelló,2019,12448,5804,6644
Castellón/Castelló,2020,1800,4807,-3007
Castellón/Castelló,2021,15454,5382,10072
Ceuta,2008,1555,1918,-363
Ceuta,2009,5162,1747,3415
Ceuta,2010,8359,1968,6391
Ceuta,2011,3279,2022,1257
Ceuta,2012,6605,1991,4614
Ceuta,2013,9452,2045,7407
Ceuta,2014,5356,2206,3150
Ceuta,2015,10291,2295,7996
Ceuta,2016,4256,2001,2255
Ceuta,2017,13118,2022,11096
Ceuta,2018,19513,2317,17196
Ceuta,2019,6146,2544,3602
Ceuta,2020,5008,2294,2714
Ceuta,2021,8301,3022,5279
Ciudad Real,2008,16102,6110,9992
Ciudad Real,2009,3670,6180,-2510
Ciudad Real,2010,6480,6488,-8
Ciudad Real,2011,16400,6508,9892
Ciudad Real,2012,2009,6727,-4718
Ciudad Real,2013,4657,6629,-1972
Ciudad Real,2014,3728,6493,-2765
Ciudad Real,2015,18963,6870,12093
Ciudad Real,2016,2160,6594,-4434
Ciudad Real,2017,1639,6612,-4973
Ciudad Real,2018,6228,6737,-509
Ciudad Real,2019,1513,6513,-5000
Ciudad Real,2020,5017,4787,230
Ciudad Real,2021,4300,5838,-1538
"Coruña, A",2008,8429,8490,-61
"Coruña, A",2009,5918,8168,-2250
"Coruña, A",2010,5292,8570,-3278
"Coruña, A",2011,4631,9014,-4383
"Coruña, A",2012,5522,8777,-3255
"Coruña, A",2013,13246,8670,4576
"Coruña, A",2014,3414,9002,-5588
"Coruña, A",2015,1560,9047,-7487
"Coruña, A",2016,4527,8542,-4015
"Coruña, A",2017,4383,8272,-3889
"Coruña, A",2018,5323,8616,-3293
"Coruña, A",2019,2057,8641,-6584
"Coruña, A",2020,29835,7228,22607
"Coruña, A",2021,3358,8625,-5267
Cuenca,2008,15195,4601,10594
Cuenca,2009,6259,4308,1951
Cuenca,2010,2661,4513,-1852
Cuenca,2011,12935,4525,8410
Cuenca,2012,3553,4727,-1174
Cuenca,2013,11266,4083,7183
Cuenca,2014,3132,4014,-882
Cuenca,2015,9327,4193,5134
Cuenca,2016,3052,3754,-702
Cuenca,2017,2394,3327,-933
Cuenca,2018,2865,3770,-905
Cuenca,2019,10529,3666,6863
Cuenca,2020,2127,2912,-785
Cuenca,2021,1750,3268,-1518
Cáceres,2008,17936,5388,12548
Cáceres,2009,8689,4860,3829
Cáceres,2010,6998,5235,1763
Cáceres,2011,8047,5329,2718
Cáceres,2012,4526,5257,-731
Cáceres,2013,5940,5087,853
Cáceres,2014,4836,5317,-481
Cáceres,2015,9003,5367,3636
Cáceres,2016,4347,5508,-1161
Cáceres,2017,9660,5566,4094
Cáceres,2018,14178,5720,8458
Cáceres,2019,18297,5613,12684
Cáceres,2020,4872,4134,738
Cáceres,2021,3771,4745,-974
Cádiz,2008,9422,11455,-2033
Cádiz,2009,17198,11508,5690
Cádiz,2010,6255,11540,-5285
Cádiz,2011,6581,12025,-5444
Cádiz,2012,10595,11798,-1203
Cádiz,2013,8706,12023,-3317
Cádiz,2014,6161,12380,-6219
Cádiz,2015,3952,12553,-8601
Cádiz,2016,3116,12286,-9170
Cádiz,2017,6938,12733,-5795
Cádiz,2018,10627,13023,-2396
Cádiz,2019,3010,13013,-10003
Cádiz,2020,16346,9766,6580
Cádiz,2021,3848,11307,-7459
Córdoba,2008,7307,7357,-50
Córdoba,2009,3812,7423,-3611
Córdoba,2010,11627,7417,4210
Córdoba,2011,8454,7768,686
Córdoba,2012,9512,7725,1787
Córdoba,2013,5300,7708,-2408
Córdoba,2014,4843,7696,-2853
Córdoba,2015,3762,7924,-4162
Córdoba,2016,1677,8114,-6437
Córdoba,2017,9566,8245,1321
Córdoba,2018,7613,8073,-460
Córdoba,2019,70756,8292,62464
Córdoba,2020,4855,6371,-1516
Córdoba,2021,1967,7708,-5741
Gipuzkoa,2008,3544,5320,-1776
Gipuzkoa,2009,6719,5303,1416
Gipuzkoa,2010,4338,5232,-894
Gipuzkoa,2011,3505,5204,-1699
Gipuzkoa,2012,3801,4582,-781
Gipuzkoa,2013,19090,4880,14210
Gipuzkoa,2014,1195,5006,-3811
Gipuzkoa,2015,44780,5276,39504
Gipuzkoa,2016,10913,5177,5736
Gipuzkoa,2017,5251,5220,31
Gipuzkoa,2018,10154,5467,4687
