provincia,anyo,entradas,salidas,saldo_neto,tasa_atraccion,delta_saldo_yoy,ranking_atraccion_anio
Albacete,2008,2023,5071,-3048,-1.5067,,39
Albacete,2009,4066,5010,-944,-0.2322,2104,27
Albacete,2010,5095,5176,-81,-0.0159,863,26
Albacete,2011,16361,5190,11171,0.6828,11252,4
Albacete,2012,4803,5178,-375,-0.0781,-11546,21
Albacete,2013,19672,5111,14561,0.7402,14936,3
Albacete,2014,19643,5177,14466,0.7364,-95,5
Albacete,2015,8723,5268,3455,0.3961,-11011,15
Albacete,2016,18909,4972,13937,0.7371,10482,3
Albacete,2017,17493,4827,12666,0.7241,-1271,4
Albacete,2018,4930,5110,-180,-0.0365,-12846,21
Albacete,2019,4154,4919,-765,-0.1842,-585,27
Albacete,2020,12952,3758,9194,0.7099,9959,6
Albacete,2021,1531,4687,-3156,-2.0614,-12350,38
Alicante/Alacant,2008,20356,22239,-1883,-0.0925,,33
Alicante/Alacant,2009,4057,22248,-18191,-4.4839,-16308,50
Alicante/Alacant,2010,2810,20842,-18032,-6.4171,159,49
Alicante/Alacant,2011,4901,19565,-14664,-2.992,3368,49
Alicante/Alacant,2012,13250,18732,-5482,-0.4137,9182,41
Alicante/Alacant,2013,2314,17629,-15315,-6.6184,-9833,48
Alicante/Alacant,2014,11528,18248,-6720,-0.5829,8595,42
Alicante/Alacant,2015,13311,17966,-4655,-0.3497,2065,40
Alicante/Alacant,2016,9225,17438,-8213,-0.8903,-3558,44
Alicante/Alacant,2017,9062,16837,-7775,-0.858,438,47
Alicante/Alacant,2018,5784,17178,-11394,-1.9699,-3619,49
Alicante/Alacant,2019,17324,17591,-267,-0.0154,11127,24
Alicante/Alacant,2020,51088,14019,37069,0.7256,37336,1
Alicante/Alacant,2021,3944,16495,-12551,-3.1823,-49620,50
Almería,2008,2285,12326,-10041,-4.3943,,49
Almería,2009,2700,9307,-6607,-2.447,3434,43
Almería,2010,47336,9344,37992,0.8026,44599,2
Almería,2011,5600,10706,-5106,-0.9118,-43098,42
Almería,2012,4046,8356,-4310,-1.0652,796,37
Almería,2013,8705,7695,1010,0.116,5320,22
Almería,2014,5705,7639,-1934,-0.339,-2944,31
Almería,2015,3093,8072,-4979,-1.6098,-3045,41
Almería,2016,1869,7607,-5738,-3.0701,-759,42
Almería,2017,3625,7789,-4164,-1.1487,1574,39
Almería,2018,70306,8226,62080,0.883,66244,1
Almería,2019,8769,8531,238,0.0271,-61842,21
Almería,2020,3849,7003,-3154,-0.8194,-3392,41
Almería,2021,3893,8025,-4132,-1.0614,-978,42
Araba/Álava,2008,10633,3724,6909,0.6498,,11
Araba/Álava,2009,8356,3672,4684,0.5606,-2225,12
Araba/Álava,2010,15471,3670,11801,0.7628,7117,5
Araba/Álava,2011,2322,3657,-1335,-0.5749,-13136,32
Araba/Álava,2012,18309,3714,14595,0.7971,15930,4
Araba/Álava,2013,3677,3785,-108,-0.0294,-14703,27
Araba/Álava,2014,6169,3662,2507,0.4064,2615,15
Araba/Álava,2015,4652,3624,1028,0.221,-1479,19
Araba/Álava,2016,8482,3614,4868,0.5739,3840,13
Araba/Álava,2017,1245,3716,-2471,-1.9847,-7339,35
Araba/Álava,2018,3505,3822,-317,-0.0904,2154,22
Araba/Álava,2019,1737,3918,-2181,-1.2556,-1864,34
Araba/Álava,2020,15503,3519,11984,0.773,14165,4
Araba/Álava,2021,5664,3946,1718,0.3033,-10266,20
Asturias,2008,24662,7780,16882,0.6845,,3
Asturias,2009,2437,8009,-5572,-2.2864,-22454,41
Asturias,2010,9608,8515,1093,0.1138,6665,23
Asturias,2011,2919,8431,-5512,-1.8883,-6605,44
Asturias,2012,4897,7986,-3089,-0.6308,2423,32
Asturias,2013,12005,7906,4099,0.3414,7188,13
Asturias,2014,8961,8030,931,0.1039,-3168,22
Asturias,2015,1875,7868,-5993,-3.1963,-6924,43
Asturias,2016,3825,7493,-3668,-0.959,2325,36
Asturias,2017,12197,7287,4910,0.4026,8578,12
Asturias,2018,1326,7394,-6068,-4.5762,-10978,43
Asturias,2019,3771,7429,-3658,-0.97,2410,39
Asturias,2020,3575,6065,-2490,-0.6965,1168,38
