provincia,anyo,entradas,salidas,saldo_neto,tasa_atraccion,delta_saldo_yoy,ranking_atraccion_anio,compraventas_vivienda,poblacion_provincia,viajeros,pernoctaciones,compraventas_per_capita,cob_100mbps_pct,ranking_anio
Albacete,2008,2023,5071,-3048,-1.5067,,34,13128.0,397493.0,2095665.0,76537.0,0.033027,,
Albacete,2008,2023,5071,-3048,-1.5067,,34,13128.0,199820.0,2095665.0,76537.0,0.065699,,
Albacete,2008,2023,5071,-3048,-1.5067,,34,13128.0,197673.0,2095665.0,76537.0,0.066413,,
Albacete,2009,16410,5010,11400,0.6947,14448,5,10092.0,400891.0,2019107.0,85010.0,0.025174,,
Albacete,2009,16410,5010,11400,0.6947,14448,5,10092.0,201162.0,2019107.0,85010.0,0.050169,,
Albacete,2009,16410,5010,11400,0.6947,14448,5,10092.0,199729.0,2019107.0,85010.0,0.050528,,
Albacete,2010,11118,5176,5942,0.5344,-5458,10,12228.0,401682.0,2137765.0,94734.0,0.030442,,
Albacete,2010,11118,5176,5942,0.5344,-5458,10,12228.0,201396.0,2137765.0,94734.0,0.060716,,
Albacete,2010,11118,5176,5942,0.5344,-5458,10,12228.0,200286.0,2137765.0,94734.0,0.061053,,
Albacete,2011,10672,5190,5482,0.5137,-460,11,7479.0,402318.0,2091433.0,97838.0,0.01859,,
Albacete,2011,10672,5190,5482,0.5137,-460,11,7479.0,201400.0,2091433.0,97838.0,0.037135,,
Albacete,2011,10672,5190,5482,0.5137,-460,11,7479.0,200918.0,2091433.0,97838.0,0.037224,,
Albacete,2012,10595,5178,5417,0.5113,-65,10,6264.0,402837.0,1837837.0,97003.0,0.01555,,
Albacete,2012,10595,5178,5417,0.5113,-65,10,6264.0,201640.0,1837837.0,97003.0,0.031065,,
Albacete,2012,10595,5178,5417,0.5113,-65,10,6264.0,201197.0,1837837.0,97003.0,0.031134,,
Albacete,2013,1735,5111,-3376,-1.9458,-8793,39,5547.0,400007.0,1757490.0,93412.0,0.013867,52.5929,20.0
Albacete,2013,1735,5111,-3376,-1.9458,-8793,39,5547.0,200016.0,1757490.0,93412.0,0.027733,52.5929,20.0
Albacete,2013,1735,5111,-3376,-1.9458,-8793,39,5547.0,199991.0,1757490.0,93412.0,0.027736,52.5929,20.0
Albacete,2014,1195,5177,-3982,-3.3322,-606,41,5757.0,396987.0,1729976.0,88974.0,0.014502,52.9683,22.0
Albacete,2014,1195,5177,-3982,-3.3322,-606,41,5757.0,198230.0,1729976.0,88974.0,0.029042,52.9683,22.0
Albacete,2014,1195,5177,-3982,-3.3322,-606,41,5757.0,198757.0,1729976.0,88974.0,0.028965,52.9683,22.0
Albacete,2015,18963,5268,13695,0.7222,17677,3,5904.0,394580.0,1855499.0,124102.0,0.014963,53.7551,26.0
Albacete,2015,18963,5268,13695,0.7222,17677,3,5904.0,197014.0,1855499.0,124102.0,0.029967,53.7551,26.0
Albacete,2015,18963,5268,13695,0.7222,17677,3,5904.0,197566.0,1855499.0,124102.0,0.029884,53.7551,26.0
Albacete,2016,3116,4972,-1856,-0.5956,-15551,31,6534.0,392118.0,1931294.0,122779.0,0.016663,53.6744,29.0
